Car Name,Model,Mileage,Price,Dealer Name
2018 Maserati GranTurismo Sport,Maserati GranTurismo Sport,"25,371 mi.","$46,450",Sullivan Cadillac
2024 Lotus Emira V6 First Edition,Lotus Emira V6 First Edition,435 mi.,"$96,988",Covert CDJR Bee Cave
2024 BMW X4 M AWD,BMW X4 M AWD,"1,379 mi.","$78,888",BMW of Honolulu
2001 Buick Park Avenue Base,Buick Park Avenue Base,"83,295 mi.","$3,980",Janesville Kia
2022 Lexus NX 250 Premium,Lexus NX 250 Premium,"21,704 mi.","$36,943",Andy Mohr Honda
2019 Mazda CX-9 Sport,Mazda CX-9 Sport,"98,506 mi.","$13,965",Acura of Honolulu
2022 Honda HR-V EX,Honda HR-V EX,"45,918 mi.","$21,774",Jeff Wyler Springfield Hyundai
2015 BMW 550 xDrive,BMW 550 xDrive,"87,542 mi.","$15,380",VINS MD
2019 Mercedes-Benz GLE 400,Mercedes-Benz GLE 400,"51,082 mi.","$26,998",CarMax Murrieta
2021 Genesis GV80 3.5T,Genesis GV80 3.5T,"86,710 mi.","$29,750",Audi Gainesville
2013 Toyota Prius Plug-in Advanced,Toyota Prius Plug-in Advanced,"49,408 mi.","$13,990",Urban Motors Red
2023 Subaru Crosstrek,Subaru Crosstrek,"46,055 mi.","$23,998",CarMax Jackson (MS)
2011 Honda CR-Z EX,Honda CR-Z EX,"105,860 mi.","$9,485",Spotless Auto LLC (West Loop)
2001 Mazda B4000 SE Cab Plus 4,Mazda B4000 SE Cab Plus 4,"138,381 mi.","$6,995",Seattle Auto Werx
2021 BMW M2 Competition,BMW M2 Competition,"12,245 mi.","$55,491",Blackdog Performance Cars
1966 Chevrolet Chevelle SS,Chevrolet Chevelle SS,"83,596 mi.","$77,947",Exotic Motorsports of Oklahoma
1994 Chevrolet 1500 Cheyenne Extended Cab,Chevrolet 1500 Cheyenne Extended Cab,"140,000 mi.","$2,500",No dealer
2019 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,Mercedes-Benz AMG GLE 43 Coupe 4MATIC,"60,286 mi.","$39,256",AutoNation Ford Sanford
2024 Toyota Crown XLE,Toyota Crown XLE,"4,213 mi.","$34,998",City Motor Company
2015 BMW 328 Gran Turismo 328i xDrive Gran Turismo AWD 4dr Hatchback,BMW 328 Gran Turismo 328i xDrive Gran Turismo AWD 4dr Hatchback,"97,823 mi.","$12,699",Gulf Export
